Topic,Breadth,Conv
Biodiversity & ecosystems (E4),19,4
E1-6,15,4
E5-5,12,4
Wild-stock status / sustainable wild sourcing,12,4
S1-17,11,4
G1-1,9,4
E1-3,7,4
Supply-chain traceability (chain of custody),22,3
E3-4,16,3
S2-1,15,3
E1-5,12,3
S1-14,12,3
Feed & marine ingredients sourcing,10,3
E1-4,8,3
Consumers & end-users (S4),8,3
S1-9,7,3
E5-2,4,3
E5-4,4,3
S1-1,9,2
Animal health & welfare (incl. antimicrobial use),9,2
E3-1,6,2
S1-6,6,2
G1-3,5,2
S1-2,5,2
S1-3,5,2
G1-4,4,2
S1-4,4,2
S2-3,3,2
E3-3,3,1
G1-5,2,1
S2-2,2,1
E3-2,1,1
